name,price,unit,imageUrl,product_type
Heinz Tomato Ketchup Maxi Pack 800ml,"4,69 €","800ml (1 l = 5,86 €)",https://img.rewe-static.de/0424439/23267520_digital-image.png?imwidth=304&impolicy=kues,sossen
Heinz Bio Tomato Ketchup 500ml,"3,99 €","500ml (1 l = 7,98 €)",https://img.rewe-static.de/9088931/43440214_digital-image.png?imwidth=304&impolicy=kues,sossen
Heinz Tomato Ketchup 50% weniger Zucker und Salz 220ml,"2,29 €","220ml (1 l = 10,41 €)",https://img.rewe-static.de/8398604/31503406_digital-image.png?imwidth=304&impolicy=kues,sossen
Heinz Tomato Ketchup ohne Zusatz von Zucker und Salz 400ml,"3,49 €","400ml (1 l = 8,73 €)",https://img.rewe-static.de/8401001/31062006_digital-image.png?imwidth=304&impolicy=kues,sossen
Thomy Ketchup 35% weniger Zucker 500ml,"1,99 €","500ml (1 l = 3,98 €)",https://img.rewe-static.de/7939975/32344231_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Premium-Tomatenketchup 450ml,"2,59 €","450ml (1 l = 5,76 €)",https://img.rewe-static.de/7447051/7470520_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Gewürzketchup 450ml,"2,29 €","450ml (1 l = 5,09 €)",https://img.rewe-static.de/7170360/3925620_digital-image.png?imwidth=304&impolicy=kues,sossen
Hela Gewürzketchup Curry Delikat 800ml,"3,39 €","800ml (1 l = 4,24 €)",https://img.rewe-static.de/7633236/41788887_digital-image.png?imwidth=304&impolicy=kues,sossen
Hela Gewürzketchup Curry leicht scharf 300ml,"2,29 €","300ml (1 l = 7,63 €)",https://img.rewe-static.de/9014593/41789788_digital-image.png?imwidth=304&impolicy=kues,sossen
Hela Gewürzketchup Curry extra scharf 300ml,"2,29 €","300ml (1 l = 7,63 €)",https://img.rewe-static.de/7631218/41788816_digital-image.png?imwidth=304&impolicy=kues,sossen
Hela Gewürzketchup Schaschlick pikant 300ml,"2,29 €","300ml (1 l = 7,63 €)",https://img.rewe-static.de/9011061/41789905_digital-image.png?imwidth=304&impolicy=kues,sossen
Werder Feinkost Berliner Currywurst Sauce 450ml,"2,59 €","450ml (1 l = 5,76 €)",https://img.rewe-static.de/8576763/35509566_digital-image.png?imwidth=304&impolicy=kues,sossen
Hela Gewürzketchup Curry Delikat 300ml,"2,29 €","300ml (1 l = 7,63 €)",https://img.rewe-static.de/9102670/42139794_digital-image.png?imwidth=304&impolicy=kues,sossen
Thomy Rot-Weiß Ketchup & Mayonnaise 200ml,,"200ml (1 l = 8,45 €)",https://img.rewe-static.de/0467138/3900350_digital-image.png?imwidth=304&impolicy=kues,sossen
ja! Tomaten-Ketchup 500ml,"1,29 €","500ml (1 l = 2,58 €)",https://img.rewe-static.de/7291190/28296386_digital-image.png?imwidth=304&impolicy=kues,sossen
ja! Tomatenketchup mit Zucker & Süßungsmittel 500ml,"1,79 €","500ml (1 l = 3,58 €)",https://img.rewe-static.de/0897016/24881485_digital-image.png?imwidth=304&impolicy=kues,sossen
ja! Curry Gewürzketchup 875ml,"2,19 €","875ml (1 l = 2,50 €)",https://img.rewe-static.de/7618595/42908457_digital-image.png?imwidth=304&impolicy=kues,sossen
"REWE Feine Welt Bio Gewürztee Indischer Chai 30g, 15 Beutel","1,99 €","30g (1 kg = 66,33 €)",https://img.rewe-static.de/7661262/40635953_digital-image.png?imwidth=304&impolicy=kues,tee
Meßmer Fenchel-Anis-Kümmel 50g,"2,35 €",50g (1 kg = 47 €),https://img.rewe-static.de/5952654/7460190_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Klassik 44g, 25 Beutel","2,35 €","43,75g (1 kg = 53,71 €)",https://img.rewe-static.de/9523170/1191420_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Marokkanische Minze-Honig 40g, 20 Beutel","2,49 €","40g (1 kg = 62,25 €)",https://img.rewe-static.de/8005984/31210581_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer 6-Kräuter-Mischung 50g, 25 Beutel","2,35 €",50g (1 kg = 47 €),https://img.rewe-static.de/6817998/2573480_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Italienische Süsskirsche 45g, 20 Beutel","2,29 €","45g (1 kg = 50,89 €)",https://img.rewe-static.de/7999287/31076893_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Wohltuende 8 Kräuter 40g, 20 Beutel",,"40g (1 kg = 37,25 €)",https://img.rewe-static.de/3655849/17444410_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Kaminabend 40g, 20 Beutel","2,49 €","40g (1 kg = 62,25 €)",https://img.rewe-static.de/7011041/27043195_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Fenchel-Anis-Kümmeltee 60g, 20 Beutel",,"60g (1 kg = 24,83 €)",https://img.rewe-static.de/3655512/677450_digital-image.png?imwidth=304&impolicy=kues,tee
"Krüger Heißgetränk Zitrone 160g, 20 Beutel","2,29 €","160g (1 kg = 14,31 €)",https://img.rewe-static.de/2914622/25554640_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Schwedische Blaubeere 45g, 20 Beutel","2,29 €","45g (1 kg = 50,89 €)",https://img.rewe-static.de/8328643/29951122_digital-image.png?imwidth=304&impolicy=kues,tee
"REWE Bio Salbeitee 30g, 20 Beutel","1,49 €","30g (1 kg = 49,67 €)",https://img.rewe-static.de/2054423/22906455_digital-image.png?imwidth=304&impolicy=kues,tee
"Teehaus Pfefferminze 70g, 40 Beutel","1,99 €","70g (1 kg = 28,43 €)",https://img.rewe-static.de/3557480/9222950_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Persischer Granatapfel 45g, 20 Beutel","2,29 €","45g (1 kg = 50,89 €)",https://img.rewe-static.de/2219849/23213971_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Hüttenzauber 20 Beutel, 50g","2,49 €","50g (1 kg = 49,80 €)",https://img.rewe-static.de/7011038/26997103_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Bio Kräutertee Magenfein 36g, 18 Beutel","2,89 €","36g (1 kg = 80,28 €)",https://img.rewe-static.de/9965056/45532275_digital-image.png?imwidth=304&impolicy=kues,tee
"REWE Bio Pfefferminztee 30g, 20 Beutel","1,29 €",30g (1 kg = 43 €),https://img.rewe-static.de/1007026/9066010_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Rooibos Vanille 35g, 20 Beutel","2,19 €","35g (1 kg = 62,57 €)",https://img.rewe-static.de/2454369/23935709_digital-image.png?imwidth=304&impolicy=kues,tee
"REWE Feine Welt Bio Früchtetee Italienische Limone 30g, 15 Beutel","1,99 €","30g (1 kg = 66,33 €)",https://img.rewe-static.de/8963051/40635945_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Fenchel 75g, 25 Beutel","2,35 €","75g (1 kg = 31,33 €)",https://img.rewe-static.de/6818234/7478610_digital-image.png?imwidth=304&impolicy=kues,tee
"Teekanne Türkischer Apfel 55g, 20 Beutel","2,29 €","55g (1 kg = 41,64 €)",https://img.rewe-static.de/0579891/5229570_digital-image.png?imwidth=304&impolicy=kues,tee
"Meßmer Pfefferminze 56g, 25 Beutel","2,35 €","56,25g (1 kg = 41,78 €)",https://img.rewe-static.de/6818501/6649570_digital-image.png?imwidth=304&impolicy=kues,tee
